"id","dominio","prefixo","metodo","rota","operacao","handler","protecao","linha_app_go"
"299","Site","site","POST","/v1/site/menu-items","CreateMenuItem","siteHandler.CreateMenuItem","Módulo site + permissão SettingsSite","599"
"300","Site","site","PATCH","/v1/site/menu-items/{id}","UpdateMenuItem","siteHandler.UpdateMenuItem","Módulo site + permissão SettingsSite","600"
"301","Site","site","DELETE","/v1/site/menu-items/{id}","DeleteMenuItem","siteHandler.DeleteMenuItem","Módulo site + permissão SettingsSite","601"
"302","Site","site","POST","/v1/site/menu-items/reorder","ReorderMenuItems","siteHandler.ReorderMenuItems","Módulo site + permissão SettingsSite","602"
"303","Site","site","GET","/v1/site/search-filters","ListSearchFilters","siteHandler.ListSearchFilters","Módulo site + permissão SettingsSite","603"
"304","Site","site","POST","/v1/site/search-filters","CreateSearchFilter","siteHandler.CreateSearchFilter","Módulo site + permissão SettingsSite","604"
"305","Site","site","PATCH","/v1/site/search-filters/{id}","UpdateSearchFilter","siteHandler.UpdateSearchFilter","Módulo site + permissão SettingsSite","605"
"306","Site","site","DELETE","/v1/site/search-filters/{id}","DeleteSearchFilter","siteHandler.DeleteSearchFilter","Módulo site + permissão SettingsSite","606"
"307","Site","site","POST","/v1/site/search-filters/reorder","ReorderSearchFilters","siteHandler.ReorderSearchFilters","Módulo site + permissão SettingsSite","607"
"308","WhatsApp","whatsapp","GET","/v1/whatsapp/message-templates","ListMessageTemplates","whatsappHandler.ListMessageTemplates","Organização + permissão WhatsAppView","608"
"309","WhatsApp","whatsapp","POST","/v1/whatsapp/message-templates","CreateMessageTemplate","whatsappHandler.CreateMessageTemplate","Organização + permissão WhatsAppOperate","609"
"310","WhatsApp","whatsapp","PATCH","/v1/whatsapp/message-templates/{id}","UpdateMessageTemplate","whatsappHandler.UpdateMessageTemplate","Organização + permissão WhatsAppOperate","610"
"311","WhatsApp","whatsapp","DELETE","/v1/whatsapp/message-templates/{id}","DeleteMessageTemplate","whatsappHandler.DeleteMessageTemplate","Organização + permissão WhatsAppOperate","611"
"312","WhatsApp","whatsapp","GET","/v1/whatsapp/sessions","ListSessions","whatsappHandler.ListSessions","Organização + permissão WhatsAppView","612"
"313","WhatsApp","whatsapp","POST","/v1/whatsapp/sessions","CreateSession","whatsappHandler.CreateSession","Organização + permissão WhatsAppManage","613"
"314","WhatsApp","whatsapp","GET","/v1/whatsapp/sessions/{id}","ShowSession","whatsappHandler.ShowSession","Organização + permissão WhatsAppView","614"
"315","WhatsApp","whatsapp","DELETE","/v1/whatsapp/sessions/{id}","DeleteSession","whatsappHandler.DeleteSession","Organização + permissão WhatsAppManage","615"
"316","WhatsApp","whatsapp","POST","/v1/whatsapp/sessions/{id}/qr","GetQRCode","whatsappHandler.GetQRCode","Organização + permissão WhatsAppManage","616"
"317","WhatsApp","whatsapp","POST","/v1/whatsapp/sessions/{id}/status","GetConnectionStatus","whatsappHandler.GetConnectionStatus","Organização + permissão WhatsAppManage","617"
"318","WhatsApp","whatsapp","POST","/v1/whatsapp/sessions/{id}/recreate","RecreateSession","whatsappHandler.RecreateSession","Organização + permissão WhatsAppManage","618"
"319","WhatsApp","whatsapp","POST","/v1/whatsapp/sessions/{id}/logout","LogoutSession","whatsappHandler.LogoutSession","Organização + permissão WhatsAppManage","619"
"320","WhatsApp","whatsapp","POST","/v1/whatsapp/sessions/{id}/notification-session","ToggleNotificationSession","whatsappHandler.ToggleNotificationSession","Organização + permissão WhatsAppManage","620"
"321","WhatsApp","whatsapp","POST","/v1/whatsapp/sessions/{id}/ai-auto-reply","ToggleAutoReplySession","whatsappHandler.ToggleAutoReplySession","Organização + permissão WhatsAppManage","621"
"322","WhatsApp","whatsapp","GET","/v1/whatsapp/sessions/{id}/access","ListSessionAccess","whatsappHandler.ListSessionAccess","Organização + permissão WhatsAppManage","622"
"323","WhatsApp","whatsapp","POST","/v1/whatsapp/sessions/{id}/access","GrantSessionAccess","whatsappHandler.GrantSessionAccess","Organização + permissão WhatsAppManage","623"
"324","WhatsApp","whatsapp","DELETE","/v1/whatsapp/sessions/{id}/access/{userId}","RevokeSessionAccess","whatsappHandler.RevokeSessionAccess","Organização + permissão WhatsAppManage","624"
"325","WhatsApp","whatsapp","GET","/v1/whatsapp/sessions/{id}/labels","ListLabels","whatsappHandler.ListLabels","Organização + permissão WhatsAppView","625"
"326","WhatsApp","whatsapp","POST","/v1/whatsapp/sessions/{id}/labels/sync","SyncLabels","whatsappHandler.SyncLabels","Organização + permissão WhatsAppOperate","626"
